symbol,num_days,num_deals,avg_volume,avg_trades,volatility,mean_rel_range
TNU5,143,133346,20285.04195804196,932.4895104895105,1.532442333980951,2.2723618607602547
RBH6,124,252924,20147.516129032258,2039.7096774193549,0.5309710346572408,0.7233165436939669
MNZ5,163,257597,20049.754601226992,1580.3496932515338,1.5526318033846083,2.0896112780206573
PDZ5,202,1364607,19159.148514851484,6755.480198019802,2.1669452231821102,2.6515762787625516
SHH6,96,75757,19096.71875,789.1354166666666,2.7833886450113274,4.080095973224814
SCZ5,160,118977,18996.13125,743.60625,1.8843291928548191,2.3287730145362815
VKU5,144,205343,18843.270833333332,1425.9930555555557,2.7487439595268204,3.2559587800654324
X5Z5,163,171436,18493.41717791411,1051.7546012269938,1.8866728787957727,2.5098450017019656
UCZ5,150,435589,18298.273333333334,2903.9266666666667,0.947750177842825,0.4524715148690248
ALH5,55,175472,17940.872727272726,3190.4,2.2126371335145203,3.4984251964799165
MNU5,145,242295,17027.91724137931,1671.0,1.5099121099840374,2.418146352152835
PIZ5,165,336394,17017.090909090908,2038.7515151515152,2.7698450424446306,3.3780061268283954
PTU5,180,1175270,16885.955555555556,6529.277777777777,1.6494843967272481,2.0116526835480477
SZM5,117,114771,16534.735042735043,980.9487179487179,3.757245569007317,5.06457454691907
SBERF,285,882519,15869.101754385965,3096.557894736842,1.3683048111354719,1.810835773515516
RMM5,117,468035,15834.17094017094,4000.2991452991455,2.559517200109769,3.178652987252714
KCG6,129,172304,15683.558139534884,1335.6899224806202,1.5394451321475242,2.721911445445811
WUM5,117,217801,15371.094017094018,1861.5470085470085,3.3257215328386,4.618393612412302
PSM5,117,191382,15177.264957264957,1635.7435897435898,2.3199541243560455,3.9699347393692537
RLH5,55,104742,15109.054545454546,1904.4,2.3978335307386747,3.8221483583310274
ETH6,100,124578,15094.59,1245.78,3.0664447559145147,4.654543430982801
GLH6,221,297482,14709.162895927602,1346.0723981900453,1.3815027500629171,1.7199099134133495
SFU5,193,738643,14575.155440414508,3827.165803108808,0.9726469590596868,1.2394499419162714
MCH5,55,159465,14567.472727272727,2899.3636363636365,2.8865209820419717,4.793796515911287
SFZ5,273,815448,14394.783882783882,2986.989010989011,0.8815679360432581,1.1930757056659023
PDU5,180,1031980,14353.705555555556,5733.222222222223,1.6893900343806254,2.1691333900586955
BMN5,116,166231,14351.681034482759,1433.0258620689656,2.134615608651587,2.671069766198275
KCQ5,69,71676,14154.333333333334,1038.7826086956522,2.0468589611946135,3.701245633447952
WUU5,142,130903,13470.366197183099,921.8521126760563,3.1641124771481546,3.8579992667153005
PTH6,105,574664,13202.32380952381,5472.990476190476,2.7592095786522317,2.7522928321214355
RUM5,117,95319,13179.068376068377,814.6923076923077,3.286254068257502,4.735037279417107
NRG6,100,81393,13082.04,813.93,2.1221520807244274,3.217176563690036
SSH6,102,80028,12924.862745098038,784.5882352941177,2.4231449750479985,3.0803500794199885
SRH6,105,406776,12334.780952380952,3874.057142857143,1.172324680136153,1.533167477520769
GDH6,235,1085858,12143.32340425532,4620.672340425532,1.127599966506796,1.2287329032390795
PIU5,143,260801,11815.552447552447,1823.7832167832169,3.300203043867084,3.5937388634679888
PSU5,138,127535,11799.855072463768,924.1666666666666,1.9684489600856057,3.165373800684066
CEZ5,155,105082,11720.683870967741,677.9483870967742,1.2601123981221325,1.6117134750893858
HSM5,118,63888,11134.305084745763,541.4237288135594,1.9434653081983067,1.9756956396803471
SCU5,144,69029,11116.611111111111,479.36805555555554,2.201726925102853,3.016569262296031
NAH6,110,174458,10884.290909090909,1585.9818181818182,0.8317619375290882,1.217665995894225
SEH5,55,53807,10791.381818181819,978.3090909090909,7.456958463943474,8.825367338341927
SOH5,55,107221,10453.745454545455,1949.4727272727273,2.0907280548342526,3.281034743707873
MXH6,196,946134,10272.647959183674,4827.214285714285,1.8671655866599721,1.300042840546642
ASM5,117,50442,10216.905982905982,431.12820512820514,1.7053699185265148,2.9884029412835655
MMH6,264,799604,10021.253787878788,3028.8030303030305,1.3957278190611329,1.5089818435938473
SZU5,100,54953,10005.99,549.53,2.2871535331628046,3.3232545641803495
EuH6,170,494724,9645.770588235295,2910.141176470588,1.274380272929713,1.1694601022891296
BMQ5,107,125339,9631.056074766355,1171.392523364486,2.285873412586919,2.4491142596214095
EURRUBF,255,646750,9598.474509803922,2536.274509803922,1.041275295253434,1.497864141166417
AFU5,146,182197,9414.616438356165,1247.9246575342465,2.9738890669130784,3.09487347147977
RTH5,55,138177,9235.236363636364,2512.309090909091,2.732288653004985,3.9516652403272956
EDH6,132,298798,9192.772727272728,2263.621212121212,0.3798415490728983,0.4472620715875578
ALM5,117,244793,9177.136752136752,2092.2478632478633,2.132763349452755,3.2239153715503304
AFZ5,161,205855,9096.670807453416,1278.6024844720496,2.159505336524977,2.6419067878681197
TNZ5,164,86249,9091.65243902439,525.9085365853658,1.3906852873832194,1.8632957712317602
LKZ5,163,514113,8989.38036809816,3154.0674846625766,2.1361254890775427,2.300680010879458
GZH6,283,521916,8954.56183745583,1844.226148409894,2.0083630357113664,2.23860251188364
AFM5,117,174057,8747.623931623932,1487.6666666666667,2.436350700279826,3.761207437099719
SHZ5,153,70596,8610.777777777777,461.4117647058824,2.755924950030577,2.720836601102607
TIH5,55,176018,8533.236363636364,3200.327272727273,2.073963740094805,3.251724673832691
VKZ5,159,129028,8286.088050314465,811.496855345912,2.041071260945958,2.824275209856383
SCM5,117,57453,8023.1623931623935,491.05128205128204,2.488832612267533,3.7628916073785135
MEH5,55,140500,7978.327272727272,2554.5454545454545,1.9996113347644273,3.0809343995589447
PDH6,108,338038,7365.601851851852,3129.9814814814813,3.2622344730504564,3.3182654976230825
RNH5,55,197174,7358.181818181818,3584.981818181818,2.0100197720170465,3.038979256148345
SZZ5,167,59297,7307.191616766467,355.07185628742513,2.749932944371636,3.466023589008184
AKH5,55,140647,7284.4,2557.2181818181816,2.936763822075524,4.3640820662213375
X5M5,100,88623,7242.64,886.23,1.5180716466741353,2.88083474512079
RLU5,143,104620,7100.335664335665,731.6083916083916,2.1600835490926467,2.6472265942596303
X5U5,144,80630,7061.736111111111,559.9305555555555,1.457190207609348,2.675637491897743
LKH5,55,180832,6999.945454545455,3287.8545454545456,1.3897527391691333,2.154087686895142
NMH5,55,105912,6921.454545454545,1925.6727272727273,2.2229205504328657,3.4408634358858023
YDH6,98,104138,6849.673469387755,1062.6326530612246,1.491106938201644,2.0895303239621907
BBM5,118,64420,6822.652542372882,545.9322033898305,3.1717316927617065,3.929344588031871
BMZ5,72,65991,6751.722222222223,916.5416666666666,1.3070390613929153,1.6486661214092142
UCH6,94,151960,6699.925531914893,1616.595744680851,1.2807307952540459,0.5175939916489201
MNH6,98,70760,6586.010204081633,722.0408163265306,1.7884727411701489,2.106031837302562
CEH6,102,86437,6561.754901960784,847.4215686274509,1.4995696677423584,1.7826103193413667
PTH5,56,115867,6378.910714285715,2069.0535714285716,1.2896823125578547,1.8524615285359416
RMU5,187,318679,6304.967914438503,1704.1657754010696,2.1096096550320462,2.530045272075212
PDH5,56,175782,6081.214285714285,3138.964285714286,1.402650022606892,2.0388357418841303
SNH5,55,111488,5872.054545454545,2027.0545454545454,2.06249026249393,3.4210665703910665
RMZ5,253,443952,5718.177865612648,1754.7509881422925,1.9320672807173502,2.2567890113542273
LKM5,117,275756,5639.076923076923,2356.8888888888887,1.6374372822343497,2.2839546630316305
PXZ5,96,137291,5600.197916666667,1430.1145833333333,1.692988265919913,2.3553205679526594
ALU5,142,154807,5501.669014084507,1090.1901408450703,1.8948343866644428,2.427344866854736
PHH5,55,55631,5483.436363636363,1011.4727272727273,1.2655636283420788,2.3135163270990686
BMF6,88,65845,5361.954545454545,748.2386363636364,1.230921619969822,1.6256017185987763
BMK5,82,77477,5293.378048780488,944.8414634146342,2.0263114310817154,3.1087238585519334
RLM5,117,91342,5286.735042735043,780.7008547008547,2.366047742947962,3.2250853218913016
RLZ5,160,93299,5268.675,583.11875,2.0447599615515015,2.47164154034553
NGG6,106,134329,5252.415094339623,1267.254716981132,2.2255411247210652,2.9051232681013026
MCM5,117,124666,5096.128205128205,1065.5213675213674,2.804348727646257,4.440938462837591
BMX5,116,83452,5044.9655172413795,719.4137931034483,1.76900151017699,1.4754266989528926
SFH6,111,133513,4887.693693693694,1202.8198198198197,0.6331344861236663,0.9102761128427402
