symbol,num_deals,total_volume,min_price,max_price,mean_open_pos,max_open_pos,buy_count,sell_count,buy_volume,sell_volume,num_trading_days,std_close_price,mean_price,mean_volume,buy_share_cnt,buy_share_vol,has_direction
VBM5,1250667,7616166,6860.0,11214.0,203362.83623304788,470672,614517,636150,3662728,3953438,117,700.6590488329292,9087.356380235506,6.089683344967126,0.4913514148850174,0.4809149380410038,True
GAZPF,1209539,8694574,112.0,182.49,230245.45595559644,352820,607538,602001,4282770,4411804,285,15.25952061451244,135.12133482260595,7.188337044113501,0.5022888885765568,0.49257962494769725,True
PTU5,1175270,3039472,953.8,1495.0,25144.451944938297,104428,588517,586753,1514299,1525173,180,165.8848444969217,1376.425961013214,2.5861904073106605,0.5007504658504003,0.4982112024720083,True
GLZ5,1148058,15230499,8887.9,11658.2,363546.0243140047,1242216,571377,576681,7537208,7693291,271,635.0419632820742,10481.096899721095,13.266314942276436,0.49769001217708514,0.4948759722186384,True
NAZ5,1131828,10439770,16733.0,26095.0,296286.61385376204,1019574,560570,571258,5179217,5260553,274,1869.8035512871058,24767.866447021985,9.223813158889866,0.49527843453245546,0.49610451188100885,True
NRZ5,1114203,64653337,3.807,5.469,439297.81698957103,2082198,559077,555126,31668214,32985123,101,0.295908889510081,4.517270413919187,58.026532866991026,0.5017730162277431,0.4898156146217171,True
VBH5,1095653,7370256,7800.0,10096.0,345411.8828202024,515156,543032,552621,3645261,3724995,55,486.93257437404225,9078.351167751103,6.726815880575328,0.49562407075962917,0.4945908256103994,True
GLM5,1088776,10081899,8281.5,9810.0,297623.03690289566,815908,551639,537137,5262900,4818999,117,406.8249018874758,8770.111268800929,9.259846837182304,0.5066597720743293,0.5220147513876106,True
GDH6,1085858,2853681,3012.9,4590.0,41357.73386951577,382708,541033,544825,1406310,1447371,235,389.91780768230194,4294.158859998268,2.6280425248973622,0.4982539153369962,0.49280560791483,True
PDU5,1031980,2583667,953.01,1354.92,32325.69799814121,107494,516968,515012,1278670,1304997,180,81.08483161511097,1189.9053749781974,2.5036018139886433,0.5009476927847439,0.4949051096755116,True
BRG5,1008953,5234575,73.89,82.44,203412.46553258522,355854,507292,501661,2633330,2601245,22,2.0218482500722774,78.81959288490148,5.18812571051377,0.5027905165057243,0.5030647187211952,True
BRH5,1008587,5071950,72.5,81.02,90792.69307780072,209540,500658,507929,2502775,2569175,42,1.9670899906610457,75.59721913925124,5.028767969446364,0.4963954522515162,0.49345419414623565,True
EDM5,1003879,7096228,0.9996,1.1597,679260.9764470309,1574660,505504,498375,3505224,3591004,117,0.048185569810172926,1.1010731186726688,7.068808093405679,0.5035507267310104,0.49395594391837466,True
BRF6,978077,5714734,58.9,86.64,30579.139707414754,347244,487063,491014,2814264,2900470,257,4.642141788075127,62.01421449435985,5.842826280548464,0.49798022037119777,0.49245756670389207,True
GLU5,963896,11941777,8473.4,10164.7,381017.75993111986,1304642,493384,470512,6310121,5631656,192,414.2096602797497,8960.539155780292,12.389072057566377,0.5118643505108434,0.5284072043884256,True
BRJ5,960725,4977465,68.62,79.77,62997.740682560136,242078,477478,483247,2497890,2479575,63,2.5441817401841655,71.69090674230398,5.180946680892035,0.49699757995263993,0.5018397919422839,True
MXH6,946134,2013439,260375.0,420000.0,41050.84003685179,452280,482145,463989,1012329,1001110,196,24044.77838551593,281655.6688851685,2.128069596906992,0.5095948354038645,0.502786029276278,True
CCU5,888125,5844214,610.0,920.0,100147.68378027348,450016,442441,445684,2881604,2962610,142,79.28303071682096,674.1978822800845,6.580395777621393,0.49817424349049966,0.4930695556322886,True
SBERF,882519,4522694,270.42,331.61,96993.41986402,187048,440131,442388,2231014,2291680,285,12.09206694877475,302.6690133696838,5.1247553877027014,0.4987212739895685,0.49329315668935375,True
EDU5,880948,7480119,1.003,1.1936,461646.5673012059,1946918,467878,413070,3918805,3561314,173,0.055069403161267634,1.1576728665029037,8.490988117346314,0.5311073979394925,0.5238960770543891,True
GKM5,827662,13551604,1007.0,1604.0,529322.0209017514,1116772,363392,464270,6668649,6882955,117,138.17787542831874,1193.4538652251765,16.37335530687648,0.43905845622971695,0.4920929655264425,True
SFZ5,815448,3929776,505.0,716.45,134257.65871689448,450144,410519,404929,1998991,1930785,273,37.45442628186768,668.378968640551,4.819161982125163,0.5034275637441014,0.50867810277227,True
MMH6,799604,2645611,2607.2,3855.25,28880.671852674706,404976,401739,397865,1314812,1330799,264,295.4450920376232,2813.193177747985,3.3086515325085917,0.5024224491123106,0.4969785807512896,True
CCN5,790990,4613133,648.8,1184.5,41720.74125966912,225980,394132,396858,2260754,2352379,137,138.98593662542964,783.2805984904993,5.832100279396705,0.4982768429436529,0.4900691135503789,True
UCM5,765886,3998424,7.192,7.57,231910.86963055958,727152,379318,386568,1905906,2092518,116,0.0729348701058781,7.343040439438767,5.22065163744996,0.4952669196198912,0.4766643057364602,True
NAH5,756496,8136582,19115.0,22207.0,737781.0997746348,899938,367380,389116,3875572,4261010,56,802.8208441440763,20853.02447203951,10.75561800723335,0.485633764091284,0.4763145015929293,True
SFU5,738643,2813005,498.52,664.33,173185.00615393376,486350,366395,372248,1386468,1426537,193,30.89817035126352,626.8717033939264,3.808341783513822,0.496038004827772,0.49287790103465867,True
EDZ5,735727,4354403,1.0682,1.1871,288350.11457311455,896940,414835,320892,2216650,2137753,185,0.026453624121132713,1.164428381315352,5.918503738479083,0.5638436539640382,0.5090594508592797,True
IBZ5,726713,16303234,47.38,77.6,880828.4547040906,1854806,353845,372868,7822787,8480447,120,7.143650526876296,57.57891947715261,22.434212680934564,0.48691161435119507,0.4798303821192777,True
NAU5,703820,7650871,16759.0,24850.0,415613.05085191265,1241400,348686,355134,3779603,3871268,193,1509.5051951039318,22727.500856753148,10.870493876275184,0.4954192833394902,0.4940095055843969,True
EDH5,703135,5788120,1.0106,1.0956,696939.8517893802,989574,369682,333453,2974935,2813185,55,0.022504597809312746,1.0475438086569435,8.231875813321766,0.5257624780447567,0.5139725852262911,True
SFH5,696264,3073174,553.65,614.9,384496.7512955239,456138,345216,351048,1493304,1579870,56,16.552928206447106,589.0464994743373,4.413805682901888,0.4958119334045707,0.4859158641847159,True
EURRUBF,646750,2447611,88.0,107.24,96743.55797935979,192646,315754,330996,1177795,1269816,255,4.142883191993754,95.19418823347507,3.7844777734827986,0.4882164669501353,0.4812018739905974,True
