date,symbol,open_price,high_price,low_price,close_price,avg_price,total_volume,num_trades,mean_open_pos,max_open_pos,buy_volume,sell_volume,buy_count,sell_count,asset_class,daily_return,abs_return,price_range,relative_range,volume_per_trade,buy_share,direction_imbalance,normalized_close,month,weekday,weekday_name
2025-05-07,GLDRUBF,8860.0,8914.0,8755.4,8865.8,8831.52958391986,429459,30547,1724489.470848201,1761402,218544,210915,12799,17748,Metal (Gold/RUB),-0.9960915689559036,0.9960915689559036,158.60000000000036,1.7888966590719437,14.058958326513242,0.5088821051602131,0.00888210516021315,103.32979802100209,5,2,Wednesday
2025-05-08,GLDRUBF,8860.0,8869.7,8689.6,8743.1,8799.765226320877,367806,24832,1737046.0082957475,1749030,169749,198057,11061,13771,Metal (Gold/RUB),-1.3839698617157947,1.3839698617157947,180.10000000000036,2.059910100536427,14.81177512886598,0.4615177566434479,0.03848224335655209,101.89974475821958,5,3,Thursday
2025-05-12,GLDRUBF,8675.0,8675.0,8377.8,8400.3,8465.334388803942,588933,47088,1743268.7925586137,1763990,272133,316800,23712,23376,Metal (Gold/RUB),-3.920806121398601,3.920806121398601,297.2000000000007,3.5379688820637445,12.507071865443425,0.46207802924950714,0.03792197075049286,97.90445332804978,5,0,Monday
2025-05-13,GLDRUBF,8447.0,8501.6,8426.4,8460.1,8469.506505535219,388141,22673,1760591.4192211,1777058,183344,204797,11173,11500,Metal (Gold/RUB),0.7118793376427179,0.7118793376427179,75.20000000000073,0.8888783820522302,17.11908437348388,0.47236442426850034,0.027635575731499662,98.60141490192422,5,1,Tuesday
2025-05-14,GLDRUBF,8437.0,8458.9,8275.1,8338.5,8340.580656337685,557399,40985,1749374.5320483104,1789834,283631,273768,18357,22628,Metal (Gold/RUB),-1.4373352560844488,1.4373352560844488,183.79999999999927,2.2042333753073007,13.600073197511284,0.5088473427472959,0.008847342747295928,97.18418200254077,5,2,Wednesday
2025-05-15,GLDRUBF,8217.0,8411.9,8184.0,8406.3,8277.764528737343,401525,26864,1692081.335169744,1720964,205551,195974,14739,12125,Metal (Gold/RUB),0.8130958805540489,0.8130958805540489,227.89999999999964,2.7110619416390045,14.946582787373437,0.5119257829524936,0.01192578295249358,97.97438258295357,5,3,Thursday
2025-05-16,GLDRUBF,8344.0,8390.0,8256.5,8378.9,8335.1530145787,447920,32376,1664229.6271929825,1686556,215860,232060,14572,17804,Metal (Gold/RUB),-0.3259460166779582,0.3259460166779582,133.5,1.5932879017532136,13.83493946132938,0.4819164136452938,0.018083586354706194,97.6550389855596,5,4,Friday
2025-05-19,GLDRUBF,8403.0,8462.2,8352.9,8375.0,8397.314271164345,380535,24546,1632905.2661126049,1657850,182947,197588,11928,12618,Metal (Gold/RUB),-0.04654548926469326,0.04654548926469326,109.30000000000109,1.3050746268656848,15.502933268149597,0.4807626105351676,0.01923738946483239,97.60958496987215,5,0,Monday
2025-05-20,GLDRUBF,8354.9,8600.0,8321.1,8570.1,8469.166429540317,724810,66350,1564648.9923436323,1613872,416186,308624,40822,25528,Metal (Gold/RUB),2.3295522388059764,2.3295522388059764,278.89999999999964,3.2543377556854605,10.924039186134138,0.5742001352078476,0.07420013520784763,99.88345124182702,5,1,Tuesday
2025-05-21,GLDRUBF,8580.0,8591.0,8441.1,8501.1,8499.960861854937,801666,39473,1361776.5427507411,1474088,428527,373139,20614,18859,Metal (Gold/RUB),-0.8051247943431261,0.8051247943431261,149.89999999999964,1.7633012198421338,20.309224026549792,0.5345455588736456,0.03454555887364563,99.07926481043344,5,2,Wednesday
2025-05-22,GLDRUBF,8527.0,8549.9,8377.0,8450.1,8462.691953957652,518029,35185,1444800.1103879495,1532146,234539,283490,16992,18193,Metal (Gold/RUB),-0.5999223629883144,0.5999223629883144,172.89999999999964,2.0461296316019886,14.723006963194543,0.45275264512218427,0.04724735487781573,98.48486614375123,5,3,Thursday
2025-05-23,GLDRUBF,8500.5,8580.0,8484.0,8532.0,8527.93920923774,429286,27366,1535495.0016078346,1559932,228417,200869,14861,12505,Metal (Gold/RUB),0.9692192991798798,0.9692192991798798,96.0,1.1251758087201125,15.686837681794929,0.5320858355501926,0.03208583555019262,99.43940047318796,5,4,Friday
2025-05-26,GLDRUBF,8531.0,8535.0,8486.0,8527.7,8515.52493668138,227835,13819,1539707.6105362182,1564560,122256,105579,6606,7213,Metal (Gold/RUB),-0.05039849976558042,0.05039849976558042,49.0,0.5745980745101258,16.487083001664374,0.5365988544341299,0.03659885443412991,99.38928450717358,5,0,Monday
2025-05-27,GLDRUBF,8502.0,8512.5,8413.7,8451.1,8446.364583023267,362210,20157,1561341.0278315225,1584072,172538,189672,9480,10677,Metal (Gold/RUB),-0.8982492348464488,0.8982492348464488,98.79999999999927,1.169078581486425,17.96943989681004,0.47634797493166947,0.02365202506833053,98.49652101956853,5,1,Tuesday
